,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
836,種,zhǒng,,4,seed,"species, kind, type, classifier for types, kinds, sorts, to plant, to grow, to cultivate"
1995,主婦,zhǔfù,,5,housewife,"woman of senior authority in a household, the lady of the house, hostess"
6597,囑咐,zhǔfù,,7,to tell,"to exhort, injunction"
2001,主意,zhǔyì,,5,plan,"idea, decision, Beijing pr. [zhu2 yi5], CL:個|个[ge4]"
6593,主義,zhǔyì,,7,-ism,ideology
2030,醉,zuì,,5,intoxicated,
493,最,zuì,,4,most,"the most, -est (superlative suffix), old variant of 聚[ju4], old variant of 最[zui4]"
112,坐,zuò,,1,to sit,"to take a seat, to take (a bus, airplane etc), to bear fruit, surname Zuo, variant of 座[zuo4]"
99,做,zuò,,1,to do,"to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance"
6660,自治,zìzhì,,7,autonomy,
6659,自制,zìzhì,,7,self-made,"improvised, homemade, handmade"
884,按,àn,,5,to press,"to push, to leave aside or shelve, to control, to restrain, to keep one's hand on, to check or refer to, according to, in the light of, (of an editor or author) to make a comment"
2049,暗,àn,,6,to close (a door),"to eclipse, muddled, stupid, ignorant, variant of 暗[an4]"
876,哎,āi,,5,hey!,(interjection used to attract attention or to express surprise or disapprobation)
877,唉,āi,,5,"interjection or grunt of agreement or recognition (e.g. yes, it's me!)","to sigh, alas, oh dear"
4050,挨,āi,,7,in order,"in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle"
4051,欸,ǎi,,7,sigh,exclamation Eh!
309,矮,ǎi,,3,low,short (in length)
